Size_Bytes,Time_Seconds
2,2.8263e-05
1074818,0.000855904
2149635,0.00189201
3224451,0.00178807
4299268,0.00262686
5374085,0.00345722
6448901,0.00343037
7523718,0.0046057
8598535,0.00399336
9673351,0.00486117
10748168,0.00590235
11822985,0.00812112
12897801,0.0101961
13972618,0.00651066
15047434,0.00629456
16122251,0.00800067
17197068,0.00705436
18271884,0.0081031
19346701,0.00951814
20421518,0.0110717
21496334,0.00876915
22571151,0.00991628
23645968,0.0107034
24720784,0.00911459
25795601,0.0106901
26870417,0.0185843
27945234,0.0118605
29020051,0.0133802
30094867,0.0116976
31169684,0.0209761
32244501,0.0147135
33319317,0.0124749
34394134,0.0132383
35468951,0.0211723
36543767,0.0141279
37618584,0.013573
38693400,0.014501
39768217,0.0230943
40843034,0.015308
41917850,0.0163407
42992667,0.0159363
44067484,0.0237465
45142300,0.0170173
46217117,0.0171362
47291934,0.019019
48366750,0.0220796
49441567,0.0278386
50516384,0.0292867
51591200,0.01916
52666017,0.0466076
53740833,0.030911
54815650,0.0244362
55890467,0.0212756
56965283,0.0199629
58040100,0.0217653
59114917,0.0209679
60189733,0.0210075
61264550,0.02188
62339367,0.0206249
63414183,0.0218525
64489000,0.0265417
65563816,0.0227734
66638633,0.0279497
67713450,0.0247029
68788266,0.0240882
69863083,0.0401992
70937900,0.0409937
72012716,0.0380302
73087533,0.0494919
74162350,0.041255
75237166,0.0449607
76311983,0.0367843
77386799,0.036426
78461616,0.0267646
79536433,0.0272385
80611249,0.033502
81686066,0.027572
82760883,0.0339105
83835699,0.0283262
84910516,0.0297062
85985333,0.0285521
87060149,0.0303247
88134966,0.0369355
89209783,0.0462303
90284599,0.0356648
91359416,0.0508479
92434232,0.051754
93509049,0.058644
94583866,0.0459299
95658682,0.0338633
96733499,0.0459528
97808316,0.0569413
98883132,0.0585345
99957949,0.0519143
101032766,0.0617949
102107582,0.0424799
103182399,0.035519
104257215,0.0479858
105332032,0.0545943
106406849,0.0359621
107481665,0.0440348
108556482,0.0455477
109631299,0.0456362
110706115,0.0364991
111780932,0.0378578
112855749,0.0670328
113930565,0.0385223
115005382,0.0479288
116080198,0.0395814
117155015,0.0396069
118229832,0.0424588
119304648,0.0593921
120379465,0.090238
121454282,0.060586
122529098,0.0625104
123603915,0.0730816
124678732,0.0692206
125753548,0.0711834
126828365,0.0724054
127903181,0.0864043
128977998,0.0837695
130052815,0.0728805
131127631,0.0887136
132202448,0.0834959
133277265,0.068641
134352081,0.0680517
135426898,0.0809513
136501715,0.08249
137576531,0.0711469
138651348,0.0716839
139726165,0.0897358
140800981,0.0896051
141875798,0.0826514
142950614,0.0716643
144025431,0.0798106
145100248,0.0904508
146175064,0.102159
147249881,0.127077
148324698,0.065752
149399514,0.0570772
150474331,0.0653587
151549148,0.0764939
152623964,0.0910013
153698781,0.0829376
154773597,0.078915
155848414,0.0815456
156923231,0.11162
157998047,0.0768306
159072864,0.0658498
160147681,0.0826647
161222497,0.0974013
162297314,0.0796055
163372131,0.106106
164446947,0.0827673
165521764,0.0914638
166596580,0.0975736
167671397,0.106303
168746214,0.107401
169821030,0.0956083
170895847,0.0932879
171970664,0.109436
173045480,0.0863629
174120297,0.0957571
175195114,0.0886946
176269930,0.103994
177344747,0.0995045
178419564,0.102031
179494380,0.102751
180569197,0.0956128
181644013,0.140265
182718830,0.0975749
183793647,0.0986795
184868463,0.110183
185943280,0.0988202
187018097,0.0958771
188092913,0.0991282
189167730,0.102537
190242547,0.106744
191317363,0.0774324
192392180,0.10978
193466996,0.112793
194541813,0.103574
195616630,0.153142
196691446,0.072922
197766263,0.0820448
198841080,0.0831557
199915896,0.103404
200990713,0.125026
202065530,0.104074
203140346,0.0965722
204215163,0.128241
205289979,0.111264
206364796,0.119432
207439613,0.111023
208514429,0.10821
209589246,0.127475
210664063,0.115259
211738879,0.118786
212813696,0.109194
213888513,0.0990353
214963329,0.114802
216038146,0.160663
217112963,0.138588
218187779,0.122368
219262596,0.121826
220337412,0.110112
221412229,0.0977885
222487046,0.114637
223561862,0.0939434
224636679,0.0992615
225711496,0.114367
226786312,0.113864
227861129,0.113946
228935946,0.0832739
230010762,0.101069
231085579,0.0912459
232160395,0.106579
233235212,0.181314
234310029,0.123655
235384845,0.104775
236459662,0.150254
237534479,0.112856
238609295,0.138028
239684112,0.138105
240758929,0.112178
241833745,0.124471
242908562,0.159327
243983378,0.124909
245058195,0.113014
246133012,0.0990656
247207828,0.0864459
248282645,0.110756
249357462,0.212568
250432278,0.152374
251507095,0.0859496
252581912,0.103768
253656728,0.085811
254731545,0.103964
255806361,0.0849954
256881178,0.0864997
257955995,0.126542
259030811,0.116301
260105628,0.147024
261180445,0.134292
262255261,0.132679
263330078,0.13721
264404895,0.131527
265479711,0.151798
266554528,0.172782
267629345,0.13883
268704161,0.152602
269778978,0.150608
270853794,0.18227
271928611,0.104598
273003428,0.135159
274078244,0.145922
275153061,0.121925
276227878,0.1599
277302694,0.131202
278377511,0.133678
279452328,0.157711
280527144,0.127557
281601961,0.149916
282676777,0.173865
283751594,0.162162
284826411,0.22414
285901227,0.162359
286976044,0.155315
288050861,0.148395
289125677,0.155814
290200494,0.149015
291275311,0.183342
292350127,0.153506
293424944,0.117273
294499760,0.178823
295574577,0.128932
296649394,0.245132
297724210,0.188058
298799027,0.141879
299873844,0.117415
300948660,0.153022
302023477,0.116927
303098294,0.147713
304173110,0.119199
305247927,0.126559
306322744,0.170284
307397560,0.133504
308472377,0.166091
309547193,0.138981
310622010,0.121097
311696827,0.13764
312771643,0.17679
313846460,0.174715
314921277,0.16589
315996093,0.192932
317070910,0.175462
318145727,0.138244
319220543,0.163219
320295360,0.134151
321370176,0.13327
322444993,0.21174
323519810,0.218508
